MemberID,SessionDateTime,DurationMinutes,SessionType,Notes
1,2024-01-15 18:00:00,75,Strength,Good session, felt strong
1,2024-01-17 18:00:00,60,Strength,Focus on form
1,2024-01-20 10:00:00,45,Cardio,Morning run
1,2024-01-22 18:00:00,80,Strength,PR on bench press!
2,2024-02-05 19:00:00,70,Strength,First session
2,2024-02-07 19:00:00,65,Strength,Learning form
2,2024-02-10 19:00:00,75,Strength,Progressing well
4,2024-01-25 17:00:00,90,Strength,PT session
4,2024-01-27 17:00:00,85,Strength,PT session
4,2024-01-29 18:00:00,60,Cardio,Recovery day
5,2024-02-20 18:00:00,70,Strength,Upper body focus
